,iteration,max_dist,n_facilities,weighted_register,weighted_total_weight,weighted_sum,demand_point_0,demand_point_1,demand_point_2,demand_point_3,demand_point_4,demand_point_5,demand_point_6,demand_point_7,demand_point_8,demand_point_9,demand_point_10,demand_point_11,demand_point_12,demand_point_13,demand_point_14,demand_point_15,demand_point_16,demand_point_17,demand_point_18,demand_point_19,demand_point_20,demand_point_21,demand_point_22,demand_point_23,demand_point_24,demand_point_25,demand_point_26,demand_point_27,demand_point_28,demand_point_29,demand_point_30,demand_point_31,demand_point_32,demand_point_33,demand_point_34,demand_point_35,demand_point_36,demand_point_37,demand_point_38,demand_point_39,demand_point_40,demand_point_41,demand_point_42,demand_point_43,demand_point_44,demand_point_45,demand_point_46,demand_point_47,demand_point_48,demand_point_49,demand_point_50,demand_point_51,demand_point_52,demand_point_53,demand_point_54,demand_point_55,demand_point_56,demand_point_57,demand_point_58,demand_point_59,demand_point_60,demand_point_61,demand_point_62,demand_point_63,demand_point_64,demand_point_65,demand_point_66,demand_point_67,demand_point_68,demand_point_69,demand_point_70,demand_point_71,demand_point_72,demand_point_73,demand_point_74,demand_point_75,demand_point_76,demand_point_77,demand_point_78,demand_point_79,demand_point_80,demand_point_81,demand_point_82,demand_point_83,demand_point_84,demand_point_85,demand_point_86,demand_point_87,demand_point_88,demand_point_89,demand_point_90,demand_point_91,demand_point_92,demand_point_93,demand_point_94,demand_point_95,demand_point_96,demand_point_97,demand_point_98,demand_point_99,demand_point_100,demand_point_101,demand_point_102,demand_point_103,demand_point_104,demand_point_105,demand_point_106,demand_point_107,demand_point_108,demand_point_109,demand_point_110,demand_point_111,demand_point_112,demand_point_113,demand_point_114,demand_point_115,demand_point_116,demand_point_117,demand_point_118,demand_point_119,demand_point_120,demand_point_121,demand_point_122,demand_point_123,demand_point_124,demand_point_125,demand_point_126,demand_point_127,demand_point_128,demand_point_129,demand_point_130,demand_point_131,demand_point_132,demand_point_133,demand_point_134,demand_point_135,demand_point_136,demand_point_137,demand_point_138,demand_point_139,demand_point_140,demand_point_141,demand_point_142,demand_point_143,demand_point_144,demand_point_145,demand_point_146,demand_point_147,demand_point_148,demand_point_149,demand_point_150,demand_point_151,demand_point_152,demand_point_153,demand_point_154,demand_point_155,demand_point_156,demand_point_157,demand_point_158,total_demand_points_covered
0,0,1000,500,320514.6230552,1680556670,126.50375312008873,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,28
1,1,1000,1000,320514.6230552,1680556670,126.50375312008873,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,28
2,2,1000,1500,320514.6230552,1680556670,126.50375312008873,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,28
3,3,1000,2000,320514.6230552,1680556670,126.50375312008873,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,28
4,4,1000,2500,320514.6230552,1680556670,126.50375312008873,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,28
5,5,1000,3000,320514.6230552,1680556670,126.50375312008873,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,28
6,6,1000,3500,320514.6230552,1680556670,126.50375312008873,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,28
7,7,1000,4000,320514.6230552,1680556670,126.50375312008873,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,28
8,8,1000,4500,320514.6230552,1680556670,126.50375312008873,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,28
9,9,1000,5000,683877.30488024,3901919058,730.3851804396138,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,3,0,1,0,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,4,0,2,1,2,0,0,0,1,2,0,0,0,2,0,0,0,0,1,0,2,0,0,0,6,0,1,0,0,0,0,70
